"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8871","add product to cart @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2808","home page title test @smoke","chromium","2026-06-27","passed","2026-06-27","","Homepagefix.spec.ts","",""
"","3702","verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2580","comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","1193","DELETE - delete new user","chromium","2026-06-27","passed","2026-06-27","","api/userapisep.spec.ts","",""
"","1137","PUT - update new user","chromium","2026-06-27","passed","2026-06-27","","api/userapisep.spec.ts","",""
"","2359","invalid login test with - - pw1234","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","431","GET API -- get all users @sanity","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","2296","invalid login test with - pwtestbatch@open.com -","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","2394","invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","3830","verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2542","footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","3156","login to app using wrong credentials with Data driven test","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","7516","test checkout flow @smoke","chromium","2026-06-27","passed","2026-06-27","","CheckoutPagefix.spec.ts","",""
"","3025","verify search results count - macbook - MacBook Air","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","3037","verify search results count - macbook - MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","4141","verify product images count @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2702","footers exist on product page @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2960","verify search results count - imac - iMac","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2308","invalid login test with excel data - abccc@gmail.com","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","1722","POST - create a user @smoke","chromium","2026-06-27","passed","2026-06-27","","api/user.api.indv.spec.ts","",""
"","1856","login page title test @manju","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","991","GET -- get location data","chromium","2026-06-27","passed","2026-06-27","","api/amedues.outh2.spec.ts","",""
"","3564","verify user is able to land on the product page - imac - iMac","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2107","Register page title test","chromium","2026-06-27","passed","2026-06-27","","RegisterPagefix.spec.ts","",""
"","1926","PUT - update a user @smoke","chromium","2026-06-27","passed","2026-06-27","","api/user.api.indv.spec.ts","",""
"","2676","logout link exist test @smoke","chromium","2026-06-27","passed","2026-06-27","","Homepagefix.spec.ts","",""
"","2299","invalid login test with - invalid@open.com - wrong123","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","2501","user is able to login to app test @manju","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","326","PUT API -- Update a user @sanity","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","347","DELETE API -- Delete a user @sanity","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","2190","Register page list options test","chromium","2026-06-27","passed","2026-06-27","","RegisterPagefix.spec.ts","",""
"","2008","forgot pwd link exist test @manju","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","2642","comp logo exists on product page @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2398","invalid login test with excel data -","chromium","2026-06-27","passed","2026-06-27","","Loginpagefix.spec.ts","",""
"","804","Verify new user using Get api","chromium","2026-06-27","passed","2026-06-27","","api/userapisep.spec.ts","",""
"","1205","DELETE - delete a user","chromium","2026-06-27","passed","2026-06-27","","api/user.api.indv.spec.ts","",""
"","2680","home page headers exist test @smoke","chromium","2026-06-27","passed","2026-06-27","","Homepagefix.spec.ts","",""
"","3726","verify product Information/Data @manju","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","385","POST API -- create a user @sanity","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
