"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","389","PUT API -- Update a user @sanity","chromium","2026-06-29","passed","2026-06-29","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","2545","home page headers exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","Homepagefix.spec.ts","",""
"","2352","comp logo exists on product page @manju","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","2474","footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1015","GET -- get location data","chromium","2026-06-29","passed","2026-06-29","","api/amedues.outh2.spec.ts","",""
"","303","DELETE API -- Delete a user @sanity","chromium","2026-06-29","passed","2026-06-29","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","1845","PUT - update a user @smoke","chromium","2026-06-29","passed","2026-06-29","","api/user.api.indv.spec.ts","",""
"","897","DELETE - delete new user","chromium","2026-06-29","passed","2026-06-29","","api/userapisep.spec.ts","",""
"","8118","add product to cart @manju","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","1823","login page title test @manju","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
"","1990","Register page title test","chromium","2026-06-29","passed","2026-06-29","","RegisterPagefix.spec.ts","",""
"","998","PUT - update new user","chromium","2026-06-29","passed","2026-06-29","","api/userapisep.spec.ts","",""
"","3015","login to app using wrong credentials with Data driven test","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
"","2915","verify search results count - macbook - MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3686","verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","600","Verify new user using Get api","chromium","2026-06-29","passed","2026-06-29","","api/userapisep.spec.ts","",""
"","399","GET API -- get all users @sanity","chromium","2026-06-29","passed","2026-06-29","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","2215","invalid login test with - - pw1234","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
"","1963","Register page list options test","chromium","2026-06-29","passed","2026-06-29","","RegisterPagefix.spec.ts","",""
"","2739","home page title test @smoke","chromium","2026-06-29","passed","2026-06-29","","Homepagefix.spec.ts","",""
"","2906","verify search results count - imac - iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2502","logout link exist test @smoke","chromium","2026-06-29","passed","2026-06-29","","Homepagefix.spec.ts","",""
"","2888","verify search results count - macbook - MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3904","verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2749","comp logo exists on product page","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2263","footers exist on product page @manju","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","997","DELETE - delete a user","chromium","2026-06-29","passed","2026-06-29","","api/user.api.indv.spec.ts","",""
"","1136","POST - create a user @smoke","chromium","2026-06-29","passed","2026-06-29","","api/user.api.indv.spec.ts","",""
"","2220","invalid login test with excel data -","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
"","2097","invalid login test with - pwtestbatch@open.com -","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
"","2488","user is able to login to app test @manju","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
"","4235","verify product Information/Data @manju","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","6800","test checkout flow @smoke","chromium","2026-06-29","passed","2026-06-29","","CheckoutPagefix.spec.ts","",""
"","3832","verify product images count @manju","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","296","POST API -- create a user @sanity","chromium","2026-06-29","passed","2026-06-29","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","2246","invalid login test with - invalid@open.com - wrong123","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
"","1672","forgot pwd link exist test @manju","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
"","2248","invalid login test with excel data - abccc@gmail.com","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
"","3518","verify user is able to land on the product page - imac - iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2401","invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-29","passed","2026-06-29","","Loginpagefix.spec.ts","",""
